,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
0,-37.2178618,174.90454126743,Okahukura Peninsula,237.0,723.0,213.0,225.0,198.0,156.0,135.0,120.0,54.0,45.0,93.0,30.0,15.0,3.0,42.0,1491.0,3.0,63.0,12.0,78.0,9.0,9.0,15.0,33.0,33.0,51.0,12.0,0.0,9.0,3.0,0.0,6.0,0.0,6.0,9.0,849.0,1317.0,306.0,48.0,48.0,3.0,12.0,195.0,366.0,618.0,39.0,54.0,45.0,27.0,9.0,507.0,849.0,1479.0,2018
2,-37.2133792,174.8896732,Cape Rodney,501.0,1686.0,681.0,495.0,357.0,321.0,249.0,315.0,129.0,150.0,333.0,102.0,81.0,39.0,87.0,3525.0,3.0,261.0,21.0,189.0,27.0,33.0,18.0,36.0,39.0,117.0,57.0,12.0,6.0,3.0,9.0,30.0,3.0,15.0,24.0,2094.0,3249.0,543.0,123.0,69.0,36.0,57.0,393.0,765.0,1680.0,90.0,111.0,126.0,48.0,21.0,1137.0,2094.0,3561.0,2018
4,-37.20664125,174.892707793297,Wellsford,375.0,780.0,324.0,381.0,219.0,186.0,141.0,132.0,57.0,48.0,90.0,30.0,15.0,0.0,60.0,1929.0,0.0,105.0,6.0,96.0,27.0,39.0,15.0,24.0,36.0,60.0,57.0,15.0,21.0,3.0,0.0,6.0,9.0,3.0,9.0,972.0,1533.0,471.0,102.0,117.0,9.0,24.0,288.0,381.0,816.0,33.0,51.0,60.0,36.0,9.0,825.0,972.0,1926.0,2018
6,-37.2010073,174.9004246,South Head,381.0,1269.0,378.0,375.0,285.0,246.0,180.0,210.0,96.0,96.0,183.0,78.0,54.0,12.0,72.0,2595.0,0.0,174.0,30.0,189.0,36.0,12.0,6.0,24.0,21.0,78.0,54.0,6.0,3.0,6.0,0.0,18.0,0.0,6.0,12.0,1578.0,2277.0,483.0,102.0,75.0,18.0,36.0,312.0,543.0,1191.0,66.0,93.0,105.0,42.0,9.0,831.0,1578.0,2574.0,2018
8,-37.0797896,175.0729724,Kaipara Hills,324.0,1047.0,210.0,252.0,186.0,171.0,162.0,168.0,81.0,57.0,141.0,75.0,33.0,9.0,72.0,1965.0,0.0,99.0,6.0,126.0,36.0,3.0,9.0,15.0,33.0,48.0,78.0,12.0,9.0,3.0,3.0,18.0,0.0,6.0,15.0,1164.0,1722.0,363.0,33.0,57.0,3.0,33.0,216.0,417.0,867.0,39.0,87.0,87.0,30.0,12.0,645.0,1164.0,2043.0,2018
10,-37.2310863,174.8563397,Dome Valley-Matakana,183.0,759.0,324.0,180.0,129.0,117.0,105.0,105.0,45.0,75.0,198.0,78.0,48.0,12.0,63.0,1530.0,3.0,126.0,3.0,84.0,6.0,9.0,0.0,12.0,12.0,60.0,0.0,9.0,0.0,9.0,3.0,0.0,0.0,6.0,9.0,981.0,1434.0,129.0,27.0,60.0,12.0,15.0,120.0,336.0,771.0,33.0,48.0,60.0,27.0,6.0,447.0,981.0,1569.0,2018
12,-37.2477807,174.7298035,Warkworth West,372.0,900.0,789.0,417.0,264.0,222.0,168.0,195.0,96.0,111.0,204.0,81.0,42.0,9.0,114.0,2481.0,0.0,276.0,18.0,222.0,15.0,12.0,9.0,57.0,42.0,204.0,15.0,12.0,15.0,6.0,0.0,9.0,3.0,15.0,15.0,1170.0,2241.0,237.0,132.0,84.0,12.0,18.0,195.0,594.0,1266.0,57.0,69.0,93.0,21.0,12.0,1149.0,1170.0,2496.0,2018
14,-36.19345,174.616057,Puhoi Valley,561.0,1836.0,567.0,369.0,345.0,318.0,267.0,306.0,141.0,150.0,396.0,216.0,117.0,36.0,141.0,3702.0,3.0,264.0,42.0,291.0,36.0,18.0,15.0,27.0,69.0,135.0,15.0,18.0,6.0,3.0,9.0,30.0,0.0,12.0,21.0,2121.0,3447.0,261.0,90.0,105.0,24.0,72.0,267.0,762.0,1947.0,114.0,123.0,180.0,57.0,15.0,1302.0,2121.0,3687.0,2018
16,-37.0819428,174.965025953479,Warkworth East,519.0,1266.0,753.0,426.0,330.0,249.0,240.0,240.0,132.0,138.0,273.0,126.0,69.0,12.0,147.0,3105.0,12.0,213.0,12.0,201.0,21.0,9.0,15.0,51.0,84.0,264.0,24.0,15.0,48.0,3.0,3.0,12.0,12.0,9.0,24.0,1542.0,2592.0,285.0,240.0,231.0,30.0,42.0,255.0,648.0,1623.0,63.0,90.0,120.0,39.0,9.0,1323.0,1542.0,3135.0,2018
18,-37.077372,174.9394739,Sandspit,120.0,447.0,306.0,96.0,102.0,90.0,69.0,81.0,51.0,54.0,135.0,57.0,36.0,6.0,42.0,969.0,0.0,102.0,9.0,36.0,15.0,12.0,0.0,6.0,12.0,57.0,0.0,3.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,552.0,924.0,33.0,21.0,12.0,3.0,18.0,48.0,228.0,573.0,33.0,21.0,30.0,12.0,0.0,342.0,552.0,996.0,2018
