Election Year,Electorate,ACT New Zealand Vote,Green Party Vote,Labour Party Vote,National Party Vote,New Zealand First Party Vote,Others Vote
2017,0,1.06,13.9,37.79,39.23,3.88,4.14
2017,1,0.6,2.39,29.27,61.02,4.59,2.14
2017,2,0.99,4.74,23.23,62.88,5.39,2.76
2017,3,1.78,8.36,24.54,58.63,3.15,3.5500000000000003
2017,4,0.81,7.57,25.5,55.92,7.12,3.08
2017,5,0.72,2.99,22.27,62.95,8.57,2.5
2017,6,0.35,6.72,50.37,32.95,6.58,3.02
2017,7,0.12,2.71,71.04,17.34,5.16,3.63
2017,8,0.26,2.23,65.68,22.95,5.74,3.15
2017,9,0.27,2.48,58.85,28.76,6.63,3.01
2017,10,0.64,5.89,43.61,40.96,5.11,3.790000000000001
2017,11,0.59,14.65,43.36,33.96,3.44,4.0
2017,12,0.58,6.22,42.69,43.01,4.43,3.07
2017,13,0.43,6.19,42.68,41.79,6.1,2.81
2017,14,0.93,6.63,26.08,57.83,5.27,3.28
2017,15,0.71,6.76,34.23,48.77,6.02,3.52
2017,16,0.76,3.74,24.78,61.86,6.62,2.26
2017,17,0.57,2.83,33.53,51.27,8.79,3.0
2017,18,0.86,4.6,23.35,59.65,8.73,2.82
2017,19,1.37,5.65,24.46,61.66,3.91,2.97
2017,20,0.49,4.9,43.98,41.43,6.44,2.76
2017,21,0.68,4.08,32.41,54.2,5.75,2.9
2020,0,7.52,19.14,46.22,21.19,1.72,4.220000000000001
2020,1,6.81,3.29,47.59,37.14,1.44,3.73
2020,2,8.81,6.16,40.25,38.38,1.72,4.69
2020,3,10.41,10.99,36.05,37.46,1.46,3.64
2020,22,11.27,6.31,40.31,33.97,2.58,5.57
2020,6,4.37,8.29,62.5,17.33,2.59,4.92
2020,7,1.55,3.99,77.37,9.11,2.76,5.25
2020,9,1.73,3.03,73.91,13.03,2.87,5.42
2020,10,7.14,9.14,50.75,25.97,2.1,4.91
2020,11,6.0,20.06,48.9,18.75,1.83,4.46
2020,12,4.99,8.02,56.17,24.44,1.92,4.47
2020,13,6.31,11.45,53.33,21.88,2.33,4.7
2020,14,9.86,8.34,41.35,34.05,1.9,4.51
2020,15,7.32,8.69,49.56,27.67,1.93,4.8100000000000005
2020,16,8.57,4.64,42.05,38.53,2.16,4.0600000000000005
2020,23,2.39,4.12,73.66,12.75,2.48,4.6
2020,17,8.81,4.04,42.74,37.11,2.78,4.52
2020,24,10.71,3.35,40.38,36.4,2.94,6.2
2020,25,4.64,3.31,55.0,30.08,1.98,4.99
2020,19,11.73,7.68,38.61,37.06,1.62,3.3
2020,20,5.13,6.51,58.05,22.72,2.54,5.07
2020,21,7.59,5.33,48.31,31.39,1.97,5.39
2020,26,10.61,4.89,40.04,36.7,2.15,5.609999999999999
2023,0,9.33,24.03,22.69,33.22,3.82,6.9
2023,1,7.4,5.87,20.46,59.04,3.02,4.21
2023,2,9.69,8.89,14.68,57.8,3.93,5.01
2023,3,12.44,13.59,14.67,51.69,2.61,4.98
2023,22,12.11,9.6,17.02,47.78,6.67,6.82
2023,6,5.95,14.09,37.28,31.24,4.73,6.71
2023,7,2.12,7.85,61.4,19.25,3.31,6.090000000000001
2023,9,2.69,5.93,52.17,29.41,3.46,6.33
2023,10,7.98,13.83,27.31,41.61,3.84,5.44
2023,11,6.76,25.28,26.08,32.05,3.07,6.75
2023,12,6.11,12.12,30.05,43.4,3.55,4.7700000000000005
2023,13,7.77,16.74,26.9,37.31,4.93,6.36
2023,14,10.98,11.73,17.7,50.92,3.88,4.79
2023,15,8.7,14.27,23.19,43.67,4.22,5.96
2023,16,9.89,7.2,16.65,58.34,3.8,4.11
2023,23,3.62,8.55,52.7,26.55,3.29,5.28
2023,17,10.05,6.39,20.96,51.95,5.27,5.38
2023,24,12.05,5.86,18.67,50.18,7.42,5.82
2023,25,5.54,5.73,28.13,52.98,3.19,4.43
2023,19,12.41,10.99,16.82,52.58,2.87,4.32
2023,20,6.5,11.31,33.56,37.82,4.53,6.29
2023,21,8.46,9.4,22.62,50.24,4.06,5.23
2023,26,11.93,7.6,15.27,53.21,6.26,5.73
